first_visit_date,Day 1,Day 7,Day 30
2024-01-01,30.69908814589666,28.267477203647417,35.56231003039514
2024-01-02,31.21951219512195,38.53658536585366,31.21951219512195
2024-01-03,28.484848484848484,26.060606060606062,33.33333333333333
2024-01-04,23.52941176470588,32.94117647058823,31.76470588235294
2024-01-05,24.719101123595504,35.95505617977528,30.337078651685395
2024-01-06,25.71428571428571,31.428571428571427,42.857142857142854
2024-01-07,35.0,25.0,30.0
2024-01-08,44.44444444444444,33.33333333333333,37.03703703703704
2024-01-09,26.666666666666668,60.0,40.0
2024-01-10,66.66666666666666,33.33333333333333,55.55555555555556
2024-01-11,20.0,40.0,0.0
2024-01-12,33.33333333333333,0.0,33.33333333333333
2024-01-13,0.0,33.33333333333333,33.33333333333333
2024-01-14,0.0,100.0,0.0
2024-01-15,50.0,100.0,50.0
2024-01-16,66.66666666666666,33.33333333333333,0.0
2024-01-18,0.0,0.0,0.0
2024-01-19,0.0,100.0,0.0
2024-01-24,100.0,0.0,0.0
2024-01-25,0.0,0.0,0.0
